x,y,labels,dist_from_origin,dist_from_TAC-1,name
0.016894097,0.015377205,TAC-1,0.045696455985307693,0.12911100685596466,RNA PCA
-0.06762796,-0.012960308,TAC-1,0.13793541491031647,0.09079586714506149,RNA PCA
-0.0058373655,-0.1620646,TAC-1,0.32722827792167664,0.26597240567207336,RNA PCA
0.008675767,0.033000354,TAC-1,0.06826970726251602,0.14845429360866547,RNA PCA
0.035318546,-0.03423549,TAC-1,0.09845497459173203,0.1242154985666275,RNA PCA
0.018546784,-0.008113851,TAC-1,0.040492769330739975,0.10254973918199539,RNA PCA
-0.11518145,-0.064832695,TAC-1,0.26590415835380554,0.19020740687847137,RNA PCA
-0.034814052,-0.026613573,TAC-1,0.0876980721950531,0.019820723682641983,RNA PCA
-0.037695043,-0.10144882,TAC-1,0.2173023372888565,0.14102423191070557,RNA PCA
-0.069264345,-0.011440407,TAC-1,0.14063695073127747,0.09507901966571808,RNA PCA
-0.10226643,-0.05345278,TAC-1,0.23181934654712677,0.15807540714740753,RNA PCA
-0.036807414,-0.041908644,TAC-1,0.11167105287313461,0.02810753509402275,RNA PCA
-0.010969476,-0.024141239,TAC-1,0.05304635688662529,0.0353568010032177,RNA PCA
0.019869948,0.0071082623,TAC-1,0.042213160544633865,0.12192652374505997,RNA PCA
-0.012315155,-0.10000714,TAC-1,0.20221133530139923,0.13928383588790894,RNA PCA
-0.102648884,-0.06849362,TAC-1,0.24806930124759674,0.16962873935699463,RNA PCA
